Client_ID,Platform,Campaign Id,Placement Name,Supplier Name,Targeting,KPI,Booking Category,Start Date,End Date,Date,Device,Format,Unit Description,Trafficking Ad Size,Booking Deadlines,Assets Deadlines,Impressions,Reach,Frequency,Clicks,CTR,CPC,Completed Views,VCR,CPCV,Viewability,Tier Targeting,Cost Method,Unit Rate,Cost Guarantee,CPM,Gross Cost,Agency Discount,Net Cost,DSP Fee,Programmatic Fee,Total Programmatic Cost,Agency Commission,Client Media Cost,ASBOF,Adserving,Adserving Buffer,DST Tax,TOTAL Cost to Client
client_1,LinkedIn Ads,5,Interstitial,DV360 0% GBP 994414,20-40 Tech Savvy Users + Interest-Based Targeting,Brand Awareness,Programmatic Display,10/12/2025,12/27/2025,12/22/2025,Cross device (increase spend in mobile),Static Banner,300x250,320x50,7 days before going live,21 days before going live,767,135167,3,1,0.2276,73,21182,27.59,0.0671,0.85,3,CPC,33.13,27.41,10.01,358.47,0.07,14.51,50.91,14.96,1837.74,34.39,1059.61,0.15,0.4,0,16.66,980.95
client_1,TikTok Ads,4,TBC,LinkedIn Campaign Manager,35-55 Premium Users + Lookalike Audiences,Click-Through,Social,10/22/2025,12/15/2025,11/30/2025,Cross device (increase spend in mobile),"Non Skippable 10""",320x50,970x90,7 days before going live,7 days before going live,15856,9759,3,2,0.0143,19.4,111620,7.04,0.1,0.92,1,CPCV,19.24,38.43,22.88,531.38,0.08,868.47,27.56,16.25,1156.45,2.88,368.22,0.54,0.19,0.41,14.35,43.31
client_1,Facebook Ads,1,TBC,DV360 0% GBP 994414,18-65 General Audience + Custom Affinity Segments,Engagement,Video,10/7/2025,12/28/2025,11/8/2025,Mobile,VRC Mixed creatives,300x250,728x90,7 days before going live,7 days before going live,55049,3660,3,56,0.1018,45.92,162757,2.96,0.0194,0.91,3,dCPM,41.74,19.72,4.71,987.45,0.15,181.12,12.26,14.14,136.81,2.28,1340.89,2.71,0.86,1.1,35.88,1356.58
client_1,TikTok Ads,2,TBC,DV360 0% GBP 994414,30-54 Health-Conscious Adults + Google Affinity Interest Segments,Brand Awareness,Mobile,10/27/2025,12/12/2025,12/1/2025,Tablet,VRC Mixed creatives,970x90,300x250,21 days before going live,7 days before going live,240063,36891,3,135,0.0564,75.08,3973,0.02,0.0549,0.78,2,CPA,27.57,45.05,21.24,140.55,0.03,1010.23,70.34,19.35,685.46,80.53,1669.06,0.68,2.75,1.06,0.95,2770.43
client_1,TikTok Ads,4,TBC,DCM,30-54 Health-Conscious Adults + Google Affinity Interest Segments,Engagement,Video,10/10/2025,12/13/2025,12/6/2025,Tablet,Carousel,300x250,300x250,21 days before going live,14 days before going live,476946,2848,4,33,0.0069,35.23,104846,0.22,0.0447,0.77,1,CPA,8.19,8.79,10.68,532.44,0.14,1398.63,44.16,16.53,743.31,63.19,943.72,0.01,0.63,0.57,33.4,392.45
client_1,Google Display Network,5,Sidebar,LinkedIn Campaign Manager,35-55 Premium Users + Lookalike Audiences,Conversions,Mobile,10/26/2025,12/2/2025,11/9/2025,Cross device (increase spend in desktop),"Non Skippable 10""",320x50,728x90,14 days before going live,14 days before going live,227445,239992,1,17,0.0076,71.87,285983,1.26,0.0879,0.95,2,CPM,19.08,41.32,14.48,790.85,0.01,681.49,9.17,18.06,278.89,95.14,1151.29,0.35,0.73,1.07,34.62,688.39
client_1,Facebook Ads,5,Feed,LinkedIn Campaign Manager,18-65 General Audience + Custom Affinity Segments,Reach,Native,10/19/2025,12/28/2025,11/14/2025,Mobile,Carousel,300x250,970x90,14 days before going live,7 days before going live,170941,133199,3,30,0.0179,12.2,12530,0.07,0.0528,0.83,5,CPM,47.09,43.76,20.48,2647.73,0.07,767.55,30.9,18.67,87.82,6.54,465.13,0.05,2,0.31,6.25,450.22
client_1,Facebook Ads,3,Feed,DCM,18-65 General Audience + Custom Affinity Segments,Conversions,Mobile,10/7/2025,12/5/2025,11/7/2025,Mobile,Static Banner,970x90,300x250,21 days before going live,21 days before going live,107357,122802,2,26,0.0246,37.55,214022,1.99,0.02,0.93,4,CPA,43.28,41.78,22.46,259.67,0.01,2971.04,27,16.03,1579.83,2.13,765,0.04,0.42,1.19,11.58,6.36
client_1,Facebook Ads,1,TBC,Meta Ads Manager,20-40 Tech Savvy Users + Interest-Based Targeting,Brand Awareness,Social,10/30/2025,12/17/2025,12/10/2025,Mobile,VRC Mixed creatives,1x1,320x50,21 days before going live,14 days before going live,13217,75635,1,14,0.1072,59.42,85336,6.46,0.0671,0.74,5,dCPM,49.19,28.07,10.59,397.11,0.11,1844.45,15.29,13.49,137.14,41.72,734.32,0.34,4.42,3.62,10.76,460.88
client_1,TikTok Ads,1,Feed,DV360 0% GBP 994414,18-65 General Audience + Custom Affinity Segments,Engagement,Programmatic Display,10/3/2025,12/18/2025,11/20/2025,Mobile,VRC Mixed creatives,320x50,300x250,21 days before going live,21 days before going live,462575,18554,3,1,0.0004,66.89,90567,0.2,0.0794,0.86,4,CPC,33.26,24.73,13.16,425.56,0.09,2411.75,13.63,0.11,950.55,28.8,1863,0.34,1.43,1.45,4.6,1483.04
